hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
יֵעָ֣שֶׂה,H6213,yê·‘ā·śeh,it shall be done,V‑Nifal‑Imperf‑3ms,H6213,Obadiah,1,175
גְּמֻלְךָ֖,H1576,gə·mul·ḵā,Your reprisal,N‑msc | 2ms,H1576,Obadiah,1,176
יָשׁ֥וּב,H7725,yā·šūḇ,shall return,V‑Qal‑Imperf‑3ms,H7725,Obadiah,1,177
בְּרֹאשֶֽׁךָ׃,H7218,bə·rō·še·ḵā.,upon your own head,Prep‑b | N‑msc | 2ms,H7218,Obadiah,1,178
כַּֽאֲשֶׁ֤ר,H834,ka·’ă·šer,as,Prep‑k | Pro‑r,H834,Obadiah,1,179
שְׁתִיתֶם֙,H8354,šə·ṯî·ṯem,you drank,V‑Qal‑Perf‑2mp,H8354,Obadiah,1,180
עַל־,H5921,‘al-,on,Prep,H5921,Obadiah,1,181
הַ֣ר,H2022,har,mountain,N‑msc,H2022,Obadiah,1,182
קָדְשִׁ֔י,H6944,qāḏ·šî,my holy,N‑msc | 1cs,H6944,Obadiah,1,183
יִשְׁתּ֥וּ,H8354,yiš·tū,[So] shall drink,V‑Qal‑Imperf‑3mp,H8354,Obadiah,1,184
כָֽל־,H3605,ḵāl,all,N‑msc,H3605,Obadiah,1,185
הַגּוֹיִ֖ם,H1471,hag·gō·w·yim,the nations,Art | N‑mp,H1471,Obadiah,1,186
תָּמִ֑יד,H8548,tā·mîḏ;,continually,Adv,H8548,Obadiah,1,187
וְשָׁת֣וּ,H8354,wə·šā·ṯū,and Yes they shall drink,Conj‑w | V‑Qal‑ConjPerf‑3cp,H8354,Obadiah,1,188
וְלָע֔וּ,H3886,"wə·lā·‘ū,",and swallow,Conj‑w | V‑Qal‑ConjPerf‑3cp,H3886,Obadiah,1,189
וְהָי֖וּ,H1961,wə·hā·yū,and they shall be,Conj‑w | V‑Qal‑ConjPerf‑3cp,H1961,Obadiah,1,190
כְּל֥וֹא,H3808,kə·lō·w,as though never,Prep‑k | Adv‑NegPrt,H3808,Obadiah,1,191
הָיֽוּ׃,H1961,hā·yū.,they had been,V‑Qal‑Perf‑3cp,H1961,Obadiah,1,192
צִיּ֛וֹן,H6726,ṣî·yō·wn,Zion,N‑proper‑fs,H6726,Obadiah,1,193
תִּהְיֶ֥ה,H1961,tih·yeh,there shall be,V‑Qal‑Imperf‑3fs,H1961,Obadiah,1,194
פְלֵיטָ֖ה,H6413,p̄ə·lê·ṭāh,deliverance,N‑fs,H6413,Obadiah,1,195
וְהָ֣יָה,H1961,wə·hā·yāh,and there shall be,Conj‑w | V‑Qal‑ConjPerf‑3ms,H1961,Obadiah,1,196
קֹ֑דֶשׁ,H6944,qō·ḏeš;,holiness,N‑ms,H6944,Obadiah,1,197
וְיָֽרְשׁוּ֙,H3423,wə·yā·rə·šū,and shall possess,Conj‑w | V‑Qal‑ConjPerf‑3cp,H3423,Obadiah,1,198
בֵּ֣ית,H1004,bêṯ,the house,N‑msc,H1004,Obadiah,1,199
יַֽעֲקֹ֔ב,H3290,"ya·‘ă·qōḇ,",of Jacob,N‑proper‑ms,H3290,Obadiah,1,200
אֵ֖ת,H853,’êṯ,-,DirObjM,H853,Obadiah,1,201
מוֹרָֽשֵׁיהֶם׃‪‬,H4180,mō·w·rā·šê·hem,their possessions,N‑mpc | 3mp,H4180,Obadiah,1,202
בֵית־,H1004,ḇêṯ-,the house,N‑msc,H1004,Obadiah,1,203
יַעֲקֹ֨ב,H3290,ya·‘ă·qōḇ,of Jacob,N‑proper‑ms,H3290,Obadiah,1,204
אֵ֜שׁ,H784,’êš,a fire,N‑cs,H784,Obadiah,1,205
וּבֵ֧ית,H1004,ū·ḇêṯ,and the house,Conj‑w | N‑msc,H1004,Obadiah,1,206
יוֹסֵ֣ף,H3130,yō·w·sêp̄,of Joseph,N‑proper‑ms,H3130,Obadiah,1,207
לֶהָבָ֗ה,H3852,"le·hā·ḇāh,",a flame,N‑fs,H3852,Obadiah,1,208
וּבֵ֤ית,H1004,ū·ḇêṯ,but the house,Conj‑w | N‑msc,H1004,Obadiah,1,209
עֵשָׂו֙,H6215,‘ê·śāw,of Esau,N‑proper‑ms,H6215,Obadiah,1,210
לְקַ֔שׁ,H7179,"lə·qaš,",[shall be] stubble,Prep‑l | N‑ms,H7179,Obadiah,1,211
וְדָלְק֥וּ,H1814,wə·ḏā·lə·qū,and they shall kindle,Conj‑w | V‑Qal‑ConjPerf‑3cp,H1814,Obadiah,1,212
וַאֲכָל֑וּם,H398,wa·’ă·ḵā·lūm;,and devour them,Conj‑w | V‑Qal‑ConjPerf‑3cp | 3mp,H398,Obadiah,1,213
וְלֹֽא־,H3808,wə·lō-,and no,Conj‑w | Adv‑NegPrt,H3808,Obadiah,1,214
יִֽהְיֶ֤ה,H1961,yih·yeh,shall [remain],V‑Qal‑Imperf‑3ms,H1961,Obadiah,1,215
שָׂרִיד֙,H8300,śā·rîḏ,survivor,N‑ms,H8300,Obadiah,1,216
לְבֵ֣ית,H1004,lə·ḇêṯ,of the house,Prep‑l | N‑msc,H1004,Obadiah,1,217
עֵשָׂ֔ו,H6215,"‘ê·śāw,",of Esau,N‑proper‑ms,H6215,Obadiah,1,218
כִּ֥י,H3588,kî,for,Conj,H3588,Obadiah,1,219
יְהוָ֖ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Obadiah,1,220
דִּבֵּֽר׃,H1696,dib·bêr.,has spoken,V‑Piel‑Perf‑3ms,H1696,Obadiah,1,221
הַנֶּ֜גֶב,H5045,han·ne·ḡeḇ,the Negev,Art | N‑proper‑fs,H5045,Obadiah,1,222
אֶת־,H853,’eṯ-,-,DirObjM,H853,Obadiah,1,223
הַ֣ר,H2022,har,the mountains,N‑msc,H2022,Obadiah,1,224
עֵשָׂ֗ו,H6215,"‘ê·śāw,",of Esau,N‑proper‑ms,H6215,Obadiah,1,225
וְהַשְּׁפֵלָה֙,H8219,wə·haš·šə·p̄ê·lāh,and the Lowland [shall possess],"Conj‑w, Art | N‑fs",H8219,Obadiah,1,226
אֶת־,H853,’eṯ-,-,DirObjM,H853,Obadiah,1,227
פְּלִשְׁתִּ֔ים,H6430,"pə·liš·tîm,",[the land of the] Philistines,N‑proper‑mp,H6430,Obadiah,1,228
וְיָרְשׁוּ֙,H3423,wə·yā·rə·šū,and they shall possess,Conj‑w | V‑Qal‑ConjPerf‑3cp,H3423,Obadiah,1,229
אֶת־,H853,’eṯ-,-,DirObjM,H853,Obadiah,1,230
שְׂדֵ֣ה,H7704,śə·ḏêh,the fields,N‑msc,H7704,Obadiah,1,231
אֶפְרַ֔יִם,H669,"’ep̄·ra·yim,",of Ephraim,N‑proper‑ms,H669,Obadiah,1,232
וְאֵ֖ת,H853,wə·’êṯ,and,Conj‑w | DirObjM,H853,Obadiah,1,233
שְׂדֵ֣ה,H7704,śə·ḏêh,the fields,N‑msc,H7704,Obadiah,1,234
שֹׁמְר֑וֹן,H8111,šō·mə·rō·wn;,of Samaria,N‑proper‑fs,H8111,Obadiah,1,235
וּבִנְיָמִ֖ן,H1144,ū·ḇin·yā·min,and Benjamin [shall possess],Conj‑w | N‑proper‑ms,H1144,Obadiah,1,236
אֶת־,H853,’eṯ-,-,DirObjM,H853,Obadiah,1,237
