hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
נִבְכֵי־,H5033,niḇ·ḵê-,the springs,N‑mpc,H5033,Job,38,6222,32
פִלַּ֣ג,H6385,p̄il·laḡ,has divided,V‑Piel‑Perf‑3ms,H6385,Job,38,6280,32
אֶגְלֵי־,H96,’eḡ·lê-,the drops,N‑mpc,H96,Job,38,6303,32
מַעֲדַנּ֣וֹת,H4575,ma·‘ă·ḏan·nō·wṯ,the cluster,N‑fpc,H4575,Job,38,6317,32
מֹשְׁכ֖וֹת,H4189,mō·šə·ḵō·wṯ,the belt,N‑fpc,H4189,Job,38,6320,32
מַזָּר֣וֹת,H4216,maz·zā·rō·wṯ,Mazzaroth,N‑mp,H4216,Job,38,6323,32
מִשְׁטָר֣וֹ,H4896,miš·ṭā·rōw,their dominion,N‑msc | 3ms,H4896,Job,38,6333,32
בַּטֻּח֣וֹת,H2910,baṭ·ṭu·ḥō·wṯ,in the mind,"Prep‑b, Art | N‑fp",H2910,Job,38,6345,32
לַשֶּׂ֣כְוִי,H7907,laś·śeḵ·wî,to the heart,"Prep‑l, Art | N‑ms",H7907,Job,38,6350,32
עָ֝ר֗וֹד,H6171,"‘ā·rō·wḏ,",of the onager,N‑ms,H6171,Job,39,6411,32
יָר֣וֹק,H3387,yā·rō·wq,green thing,N‑ms,H3387,Job,39,6429,32
רְנָנִ֥ים,H7443,rə·nā·nîm,of the ostrich,N‑mp,H7443,Job,39,6455,32
רַעְמָֽה׃,H7483,ra‘·māh.,with thunder,N‑fs,H7483,Job,39,6494,32
תִּרְנֶ֣ה,H7439,tir·neh,rattles,V‑Qal‑Imperf‑3fs,H7439,Job,39,6512,32
יְגַמֶּא־,H1572,yə·ḡam·me-,He devours,V‑Piel‑Imperf‑3ms,H1572,Job,39,6518,32
יַֽאֲבֶר־,H82,ya·’ă·ḇer-,fly,V‑Hifil‑Imperf.Jus‑3ms,H82,Job,39,6534,32
יְעַלְעוּ־,H5966,yə·‘al·‘ū-,suck up,V‑Piel‑Imperf‑3mp,H5966,Job,39,6558,32
יִסּ֑וֹר,H3250,yis·sō·wr;,correct [Him],N‑ms,H3250,Job,40,6570,32
וַהֲדֹ֖ךְ,H1915,wa·hă·ḏōḵ,and Tread down,Conj‑w | V‑Qal‑Imp‑ms,H1915,Job,40,6626,32
בְ֭הֵמוֹת,H930,ḇə·hê·mō·wṯ,at the behemoth,N‑ms,H930,Job,40,6640,32
בִּשְׁרִירֵ֥י,H8306,biš·rî·rê,in muscles,Prep‑b | N‑mpc,H8306,Job,40,6651,32
(פַחֲדָ֣יו),H6344,p̄a·ḥă·ḏāw,his thighs,N‑mdc | 3ms,H6344,Job,40,6657,32
כִּמְטִ֥יל,H4300,kim·ṭîl,like bars,Prep‑k | N‑msc,H4300,Job,40,6662,32
צֶאֱלִ֥ים,H6628,ṣe·’ĕ·lîm,the lotus trees,N‑mp,H6628,Job,40,6678,32
חַבָּרִ֑ים,H2271,ḥab·bā·rîm;,[your] companions,N‑mp,H2271,Job,41,6727,32
בְשֻׂכּ֣וֹת,H7905,ḇə·śuk·kō·wṯ,with harpoons,Prep‑b | N‑fp,H7905,Job,41,6731,32
וְחִ֣ין,H2433,wə·ḥîn,or graceful,Conj‑w | N‑msc,H2433,Job,41,6766,32
כִּיד֥וֹדֵי,H3590,kî·ḏō·w·ḏê,Sparks,N‑mpc,H3590,Job,41,6804,32
תָּד֥וּץ,H1750,tā·ḏūṣ,dances,V‑Qal‑Imperf‑3fs,H1750,Job,41,6820,32
דְּאָבָֽה׃,H1670,də·’ā·ḇāh.,sorrow,N‑fs,H1670,Job,41,6821,32
רִקָּב֣וֹן,H7539,riq·qā·ḇō·wn,rotten,N‑ms,H7539,Job,41,6847,32
תוֹתָ֑ח,H8455,ṯō·w·ṯāḥ;,Darts,N‑ms,H8455,Job,41,6857,32
חַדּ֣וּדֵי,H2303,ḥad·dū·ḏê,[are] like sharp,N‑mpc,H2303,Job,41,6861,32
כַּמֶּרְקָחָֽה׃,H4841,kam·mer·qā·ḥāh.,like a pot of ointment,"Prep‑k, Art | N‑fs",H4841,Job,41,6871,32
